Date,Open,High,Low,Close,Adj Close,Volume
19620102,75.000000,76.250000,74.250000,7176.000000,74.750000,21600
19620103,74.375000,74.375000,73.750000,7104.000000,74.000000,14800
19620104,74.000000,74.625000,72.500000,7020.000000,73.125000,18400
19620105,73.125000,73.250000,70.000000,6840.000000,71.250000,27300
19620108,71.250000,71.250000,69.000000,6828.000000,71.125000,31000
19620109,71.125000,72.125000,70.625000,6864.000000,71.500000,23300
19620110,71.500000,72.250000,71.250000,6900.000000,71.875000,19600
19620111,71.875000,72.000000,70.625000,6912.000000,72.000000,16300
19620112,72.000000,72.125000,70.750000,6816.000000,71.000000,16900
19620115,71.125000,72.000000,71.125000,6888.000000,71.750000,21200
19620116,71.750000,72.625000,71.250000,6948.000000,72.375000,13900
19620117,72.250000,72.250000,70.250000,6792.000000,70.750000,21400
19620118,70.750000,71.500000,70.625000,6864.000000,71.500000,14800
19620119,71.500000,72.125000,71.500000,6924.000000,72.125000,13300
19620122,72.250000,73.250000,72.250000,6948.000000,72.375000,14200
19620123,72.125000,72.125000,70.750000,6816.000000,71.000000,22800
19620124,71.000000,72.625000,70.750000,6948.000000,72.375000,16000
19620125,72.375000,72.875000,71.125000,6876.000000,71.625000,15900
19620126,71.625000,71.750000,71.125000,6852.000000,71.375000,10100
19620129,71.375000,71.750000,71.250000,6864.000000,71.500000,10200
19620130,72.375000,73.500000,72.375000,6984.000000,72.750000,17800
19620131,72.750000,75.000000,72.625000,7200.000000,75.000000,18800
19620201,75.000000,75.375000,73.750000,7152.000000,74.500000,25700
19620202,74.500000,74.875000,74.000000,7188.000000,74.875000,14800
19620205,74.750000,74.750000,73.500000,7056.000000,73.500000,14100
19620206,73.750000,74.500000,73.750000,7128.000000,74.250000,10400
19620207,74.250000,75.000000,74.000000,7200.000000,75.000000,16900
19620208,75.000000,75.500000,74.875000,7248.000000,75.500000,17600
19620209,75.500000,75.500000,74.125000,7212.000000,75.125000,15100
19620212,75.125000,75.375000,74.750000,7212.000000,75.125000,8200
19620213,75.250000,76.000000,75.250000,7296.000000,76.000000,12100
19620214,76.000000,76.875000,75.875000,7356.000000,76.625000,16200
19620215,76.750000,78.000000,76.750000,7464.000000,77.750000,18700
19620216,77.750000,77.875000,76.625000,7416.000000,77.250000,23400
19620219,77.250000,77.625000,76.250000,7356.000000,76.625000,15600
19620220,76.625000,76.625000,75.500000,7344.000000,76.500000,10700
19620221,76.500000,76.875000,75.750000,7320.000000,76.250000,10800
19620223,76.250000,76.375000,75.375000,7248.000000,75.500000,16300
19620226,75.500000,75.750000,73.875000,7152.000000,74.500000,12600
19620227,74.500000,75.000000,74.375000,7200.000000,75.000000,9300
19620228,75.000000,75.250000,74.375000,7164.000000,74.625000,16600
19620301,75.000000,76.000000,75.000000,7296.000000,76.000000,9100
19620302,76.125000,77.000000,76.125000,7344.000000,76.500000,12600
19620305,76.625000,77.250000,76.625000,7356.000000,76.625000,13900
19620306,76.625000,76.750000,75.250000,7248.000000,75.500000,9400
19620307,75.500000,76.375000,75.500000,7296.000000,76.000000,10100
19620308,76.000000,77.375000,75.750000,7404.000000,77.125000,17700
19620309,77.500000,78.375000,77.500000,7512.000000,78.250000,19800
19620312,78.250000,78.500000,78.000000,7524.000000,78.375000,21100
